"PSComputerName","State","Name","ProcessID","Description","PathName","Started","StartMode","StartName"
"DELLWIN10","Running","ApHidMonitorService","3400","Monitor HID device for Alps","C:\Program Files\DellTPad\HidMonitorSvc.exe","True","Auto","LocalSystem"
"DELLWIN10","Running","Appinfo","6728","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","C:\Windows\system32\svchost.exe -k netsvcs -p","True","Manual","LocalSystem"
"DELLWIN10","Running","AppMgmt","11192","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k netsvcs -p","True","Manual","LocalSystem"
"DELLWIN10","Running","AudioEndpointBuilder","2020","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","True","Auto","LocalSystem"
"DELLWIN10","Running","Audiosrv","2248","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","True","Auto","NT AUTHORITY\LocalService"
"DELLWIN10","Running","BFE","1580","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","True","Auto","NT AUTHORITY\LocalService"
"DELLWIN10","Running","BITS","4332","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","C:\Windows\System32\svchost.exe -k netsvcs -p","True","Auto","LocalSystem"
"DELLWIN10","Running","Bonjour Service","3392","##Id_String2.6844F930_1628_4223_B5CC_5BB94B879762##","""C:\Program Files (x86)\Bonjour\mDNSResponder.exe""","True","Auto","LocalSystem"
"DELLWIN10","Running","BrokerInfrastructure","792","Windows infrastructure service that controls which background tasks can run on the system.","C:\Windows\system32\svchost.exe -k DcomLaunch -p","True","Auto","LocalSystem"
"DELLWIN10","Running","camsvc","1692","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","C:\Windows\system32\svchost.exe -k appmodel -p","True","Manual","LocalSystem"
